date,close,volume,rolling_mean_20,rolling_std_20,RSI
2024-07-01,35000,1000,,,
2024-07-02,35500,1100,,,
2024-07-03,35300,1050,,,
2024-07-04,35800,1200,,,
2024-07-05,36000,1250,,,
2024-07-06,36200,1300,,,
2024-07-07,36500,1350,,,
2024-07-08,36800,1400,,,
2024-07-09,37000,1450,,,
2024-07-10,37200,1500,,,
2024-07-11,37400,1550,,,
2024-07-12,37600,1600,,,
2024-07-13,37800,1650,,,
2024-07-14,38000,1700,,,
2024-07-15,38200,1750,,,94.44444444444444
2024-07-16,38400,1800,,,94.75806451612904
2024-07-17,38600,1850,,,95.05847953216374
2024-07-18,38800,1900,,,95.34573341242267
2024-07-19,39000,1950,,,95.61993534416655
2024-07-20,39200,2000,37215.0,1294.22807719098,95.88125316981981
2024-07-21,39400,2050,37435.0,1271.6648846875314,96.12990670196471
2024-07-22,39600,2100,37640.0,1273.7842500947538,96.36616109296654
2024-07-23,39800,2150,37865.0,1235.5586846272713,96.59032036773104
2024-07-24,40000,2200,38075.0,1222.9709296368485,96.8027212089718
2024-07-25,40200,2250,38285.0,1208.4243764854232,97.00372706574576
2024-07-26,40400,2300,38495.0,1191.8473056562107,97.1937226384657
2024-07-27,40600,2350,38700.0,1183.2159566199086,97.37310877752144
2024-07-28,40800,2400,38900.0,1183.2159566199075,97.54229781830256
2024-07-29,41000,2450,39100.0,1183.2159566199061,97.70170936295858
2024-07-30,41200,2500,39300.0,1183.2159566199048,97.85176650869224
2024-07-31,41400,2550,39500.0,1183.2159566199036,97.99289251372085
2024-08-01,41600,2600,39700.0,1183.215956619902,98.12550788515027
2024-08-02,41800,2650,39900.0,1183.215956619901,98.2500278677449
2024-08-03,42000,2700,40100.0,1183.2159566198995,98.36686030876962
2024-08-04,42200,2750,40300.0,1183.2159566198982,98.47640387154094
2024-08-05,42400,2800,40500.0,1183.2159566198968,98.57904656886976
2024-08-06,42600,2850,40700.0,1183.2159566198955,98.67516458701976
2024-08-07,42800,2900,40900.0,1183.215956619894,98.7651213709799
2024-08-08,43000,2950,41100.0,1183.215956619893,98.84926694259477
2024-08-09,43200,3000,41300.0,1183.2159566198916,98.92793742427945
2024-08-10,43400,3050,41500.0,1183.2159566198902,99.00145474254326
2024-08-11,43600,3100,41700.0,1183.2159566198889,99.07012648725822
2024-08-12,43800,3150,41900.0,1183.2159566198875,99.13424590444833
2024-08-13,44000,3200,42100.0,1183.2159566198861,99.1940920022744
2024-08-14,44200,3250,42300.0,1183.215956619885,99.24992975179228
2024-08-15,44400,3300,42500.0,1183.2159566198836,99.30201036592689
2024-08-16,44600,3350,42700.0,1183.2159566198823,99.35057164189776
2024-08-17,44800,3400,42900.0,1183.215956619881,99.39583835403141
2024-08-18,45000,3450,43100.0,1183.2159566198795,99.43802268548822
2024-08-19,45200,3500,43300.0,1183.2159566198784,99.4773246889028
2024-08-20,45400,3550,43500.0,1183.215956619877,99.51393276728953
